accession_number,company_cik,owner_key,percent_of_class,control_class,pct_verified,pct_source
0001144204-10-020809,0000822370,0000897464,21.5,stake,True,row13
0001144204-10-054527,0000822370,0001393643,16.9,stake,True,row13
0001193125-11-322964,0000822370,0001452690,8.2,stake,True,row13
0001213900-19-014431,0000822370,0001517691,25.6,stake,True,row13
0001615774-16-007199,0000822370,0001682250,28.3,stake,True,row13
0001615774-18-013676,0000822370,0001365035,6.5,stake,True,row13
0000921895-17-000111,0000822416,0001231248,7.0,stake,True,row13
0000901877-11-000002,0000822663,0000901877,23.0,stake,True,row13
0001213900-14-007827,0000824416,0001607806,28.2,stake,True,row13
0000825202-08-000005,0000825202,0001185838,11.62,stake,True,row13
0000906304-13-000136,0000825202,0000825202,15.78,stake,True,row13
0000921895-95-000112,0000825202,0000915653,6.6,stake,True,row13
0001009121-97-000001,0000825202,0001009121,9.87,stake,True,row13
0000950170-24-122379,0000825313,0001333986,,unknown,False,rejected_below_13d_threshold
0001193125-11-344099,0000825313,0000888002,,unknown,False,rejected_below_13d_threshold
0000825324-05-000032,0000825324,0001317419,7.2,stake,True,row13
0000825324-05-000033,0000825324,0001317300,5.6,stake,True,row13
0000825324-05-000034,0000825324,0001317313,5.6,stake,True,row13
0000904454-16-001633,0000825324,0001145839,7.3,stake,True,row13
0001508546-10-000008,0000825324,0001508546,51.4,control,True,row13
0001580695-14-000257,0000825324,0001360554,11.5,stake,True,row13
0001580695-14-000261,0000825324,0001607684,9.6,stake,True,row13
0001580695-21-000212,0000825324,0001254073,,unknown,False,rejected_below_13d_threshold
0001580695-21-000215,0000825324,0001232587,,unknown,False,rejected_below_13d_threshold
0001012975-25-000816,0000825542,0000945527,,unknown,False,
0001062993-19-003911,0000826020,0001510281,13.01,stake,True,row13
0000935836-04-000112,0000826253,0000905608,6.77,stake,True,row13
0000950144-03-013650,0000826253,0001265715,9.7,stake,True,row13
0001104659-19-030847,0000826253,0001724414,14.6,stake,True,row13
0001144204-04-015943,0000826253,0001060065,100.0,control,True,aggregate_total
0001493152-13-001776,0000826253,0001584388,30.1,stake,True,row13
0001286207-10-000017,0000826675,0001286207,5.9,stake,True,row13
0000897101-26-000071,0000826735,0000769317,,unknown,False,
0001048703-08-000006,0000826735,0001048703,10.39,stake,True,row13
0001683168-17-002215,0000827099,0001177496,14.0,stake,True,row13
0001193805-23-001215,0000827187,0001105087,8.5,stake,True,row13
0000769317-23-000073,0000827773,0000769317,18.77,stake,True,row13
0001078782-11-001206,0000827876,0001519835,47.18,stake,True,row13
0001255294-14-001186,0000827876,0001625557,9.15,stake,True,row13
0001255294-14-001215,0000827876,0001625587,38.17,stake,True,row13
0001255294-14-001219,0000827876,0001625744,38.17,stake,True,row13
0001663577-16-000231,0000827876,0001636183,8.5,stake,True,row13
0000893877-97-000574,0000828146,0001046971,5.8,stake,True,row13
0000950134-06-018457,0000828146,0001346543,9.4,stake,True,row13
0001044321-07-000013,0000828146,0001044321,20.2,stake,True,row13
0001104659-16-121237,0000828146,0001000383,68.53,control,True,row13
0001144204-07-027027,0000828146,0001349005,10.6,stake,True,row13
0000038777-22-000162,0000828803,0000038777,5.2,stake,True,row13
0001062993-20-005802,0000828803,0001510281,18.31,stake,True,row13
0001013594-11-000360,0000829323,0001463396,,unknown,False,rejected_below_13d_threshold
0001041885-18-000025,0000829323,0001041885,8.16,stake,True,row13
0001140361-14-028197,0000829323,0000883961,8.73,stake,True,row13
0000829365-99-000002,0000829365,0000829365,31.22,stake,True,row13
0000902664-22-002499,0000829365,0001317904,19.96,stake,True,row13
0000948046-21-000185,0000829365,0000948046,23.4,stake,True,row13
0000950148-00-002223,0000829365,0001127760,11.44,stake,True,row13
0000950148-97-001630,0000829365,0000942050,30.2,stake,True,row13
0001013594-20-000518,0000829365,0001484190,9.8,stake,True,row13
0001193125-17-226454,0000829365,0001638530,22.75,stake,True,row13
0001193805-04-000079,0000829365,0000897485,19.08,stake,True,row13
0000904567-05-000003,0000830616,0000904567,6.1,stake,True,row13
0001005150-04-000321,0000830616,0000905223,,unknown,False,rejected_below_13d_threshold
0001062993-26-001082,0000830616,0001479348,8.12,stake,True,prose
0000769317-23-000072,0000830622,0000769317,39.97,stake,True,row13
0001067621-07-000026,0000830622,0001067621,5.95,stake,True,llm
0000928464-15-000058,0000831259,0000921669,,unknown,False,rejected_below_13d_threshold
0001361570-25-000009,0000831641,0001361570,5.3,stake,True,llm
0000897101-24-000604,0000832327,0000769317,9.8,stake,True,row13
0000931763-98-002627,0000832370,0000923232,11.9,stake,True,row13
0000950116-97-001723,0000832370,0000820819,5.2,stake,True,row13
0000950116-98-000355,0000832370,0001024746,11.7,stake,True,llm
0001010549-09-000071,0000832370,0001333491,23.4,stake,True,row13
0000807249-26-000002,0000832428,0000807249,7.01,stake,True,aggregate_prose
0001193125-23-043482,0000832428,0001567560,13.5,stake,True,row13
0001971213-25-000079,0000832428,0001971213,8.2,stake,True,llm
0000940397-13-000010,0000832480,0000832480,,unknown,False,
0000940397-17-000005,0000832480,0001064892,,unknown,False,
0000940397-98-000042,0000832480,0001064869,5.9,stake,True,aggregate_total
0001377635-16-000010,0000832489,0001377635,12.49,stake,True,row13
0001104659-25-018553,0000832988,0001592643,9.7,stake,True,llm
0001193125-23-067871,0000832988,0001531051,15.3,stake,True,row13
0001067621-06-000007,0000833040,0001067621,5.95,stake,True,row13
0001364773-07-000007,0000833040,0001364773,8.22,stake,True,row13
0000919574-20-007360,0000834365,0001534261,22.7,stake,True,row13
0001437749-20-015702,0000834365,0001273547,5.14,stake,True,row13
0001437749-20-015703,0000834365,0001113655,15.6,stake,True,row13
0001014108-21-000091,0000835011,0001471262,15.1,stake,True,row13
0001104659-21-046339,0000835011,0001853861,37.4,stake,True,row13
0001193125-23-056565,0000835324,0001005768,5.67,stake,True,row13
0001140361-17-042150,0000835333,0000070858,100.0,control,True,row13
0001017951-09-000247,0000835662,0001427057,96.5,control,True,row13
0001021890-07-000052,0000835662,0001390165,41.9,stake,True,row13
0001021890-07-000053,0000835662,0001269986,41.9,stake,True,row13
0001493152-23-004406,0000835662,0001746374,58.14,control,True,llm
0001493152-23-004408,0000835662,0001746373,,unknown,False,
0001048703-13-000068,0000836412,0001048703,,unknown,False,rejected_below_13d_threshold
0001462180-12-000070,0000836412,0001462180,5.11,stake,True,row13
0001193125-20-312751,0000836564,0001732073,50.0,control,True,row13
0000895345-22-000689,0000836690,0001946479,11.7,stake,True,row13
0001104659-22-130438,0000836690,0001959736,20.42,stake,True,row13
0001140361-14-038597,0000836690,0000923666,,unknown,False,rejected_below_13d_threshold
0000902664-19-002735,0000837465,0001159159,9.22,stake,True,row13
0001104659-26-007535,0000837465,0001849690,6.1,stake,True,llm
0001140361-21-008895,0000837465,0001849588,15.68,stake,True,row13
0001193125-21-077765,0000837465,0001725169,10.07,stake,True,row13
0001193125-21-085791,0000837465,0001716155,9.9,stake,True,row13
0001128281-07-000027,0000839087,0001261513,33.4,stake,True,row13
0001213900-26-042214,0000839087,0001645745,,unknown,False,
0001213900-26-044358,0000839087,0001403638,,unknown,False,
0001140361-12-045186,0000839470,0001453884,5.3,stake,True,row13
0001144204-12-015860,0000839470,0001465397,9.7,stake,True,row13
0000769317-23-000076,0000839533,0000769317,9.87,stake,True,row13
0001062993-23-020590,0000839533,0001510281,5.45,stake,True,row13
0001140361-15-021805,0000839533,0000911421,95.0,control,True,row13
0001504304-24-000004,0000839533,0001504304,,unknown,False,rejected_below_13d_threshold
0001208646-23-000059,0000839923,0001923223,14.61,stake,True,row13
0001193125-21-366892,0000840489,0001724410,16.6,stake,True,row13
0001078782-13-002271,0000840715,0000897911,20.4,stake,True,prose
0001078782-13-002275,0000840715,0001262764,13.3,stake,True,prose
0001437749-18-021681,0000840715,0001271904,,unknown,False,rejected_below_13d_threshold
0001753926-20-000304,0000840715,0000840715,5.6,stake,True,row13
0001753926-25-001049,0000840715,0002057383,32.4,stake,True,llm
0000895345-96-000055,0000841533,0000925890,16.61,stake,True,row13
0000933040-96-000002,0000841533,0000933040,5.2,stake,True,row13
0001022087-96-000005,0000841533,0001022087,22.0,stake,True,row13
0001849440-21-000002,0000842517,0001849440,5.04,stake,True,row13
0000902664-24-005842,0000842633,0002040467,10.3,stake,True,row13
0001104659-24-045947,0000842717,0001868329,,unknown,False,rejected_below_13d_threshold
0001170549-24-000006,0000842717,0001170549,5.2,stake,True,row13
0001140361-17-033285,0000843006,0001715373,7.23,stake,True,prose
0001325533-13-000044,0000843006,0001325533,24.18,stake,True,row13
0001654954-25-000109,0000843006,0001563674,,unknown,False,rejected_below_13d_threshold
0002053119-25-000002,0000843006,0002053119,5.5,stake,True,llm
0000844059-24-000042,0000844059,0000844059,13.5,stake,True,row13
0001387131-18-001370,0000844059,0001190089,13.9,stake,True,row13
0001104659-23-010815,0000844150,0001451785,43.97,stake,True,llm
0001048703-05-000133,0000844790,0001048703,,unknown,False,rejected_below_13d_threshold
0001193125-11-005728,0000844790,0000070858,72.2,control,True,row13
0001504304-17-000023,0000844790,0001504304,7.47,stake,True,row13
0000950159-14-000270,0000844856,0001539983,,unknown,False,rejected_below_13d_threshold
0001212341-05-000006,0000844856,0001212341,29.2,stake,True,row13
0001213900-18-012142,0000844856,0001692547,11.91,stake,True,row13
0001493152-16-011158,0000844856,0001516968,28.12,stake,True,row13
0001571049-17-001277,0000844856,0001512158,19.99,stake,True,row13
0001571049-17-001278,0000844856,0001564870,19.99,stake,True,row13
0001361570-25-000008,0000844965,0001361570,5.3,stake,True,llm
0000720477-99-000001,0000844985,0000720477,63.6,control,True,prose
0000914317-96-000201,0000844985,0001019373,16.7,stake,True,row13
0001047469-03-023922,0000844985,0000040545,,unknown,False,
0001193125-15-250028,0000844985,0001157359,23.0,stake,True,row13
0000845385-03-000005,0000845385,0000845385,11.28,stake,True,row13
0000938047-04-000006,0000845385,0000938047,46.22,stake,True,row13
0001213900-15-005123,0000845385,0001647126,86.78,control,True,row13
0000807249-23-000009,0000845611,0000807249,12.46,stake,True,aggregate_prose
0001010412-14-000013,0000845819,0001442281,35.6,stake,True,row13
0001010412-14-000026,0000845819,0001090402,9.89,stake,True,row13
0001010412-17-000043,0000845819,0001709886,88.4,control,True,row13
0001010412-17-000080,0000845819,0001563442,94.1,control,True,row13
0001010412-19-000002,0000845819,0001764302,15.0,stake,True,row13
0001010412-20-000025,0000845819,0001709927,5.83,stake,True,row13
0001515971-14-000316,0000845819,0001611917,7.68,stake,True,row13
0001515971-14-000433,0000845819,0001539313,13.2,stake,True,row13
0001515971-14-000435,0000845819,0001539445,14.64,stake,True,row13
0001515971-14-000439,0000845819,0001609446,11.28,stake,True,row13
0001515971-16-000519,0000845819,0001269453,11.37,stake,True,row13
0000902664-24-004633,0000845982,0001365341,5.11,stake,True,row13
0001213900-17-004765,0000846377,0001704806,8.43,stake,True,row13
0001213900-17-004767,0000846377,0001705210,19.27,stake,True,row13
0001213900-17-004769,0000846377,0001287230,16.2,stake,True,row13
0000899140-18-000500,0000846617,0001085393,9.56,stake,True,row13
0001062993-17-002825,0000846671,0001510281,9.89,stake,True,row13
0001072613-18-000304,0000846676,0001018138,28.1,stake,True,row13
0001073307-01-500018,0000846676,0001126078,,unknown,False,rejected_below_13d_threshold
0001504304-17-000059,0000846676,0001504304,13.51,stake,True,row13
0001393905-22-000342,0000847942,0001945418,74.14,control,True,row13
0001694004-17-000001,0000847942,0001694004,7.18,stake,True,row13
0000891836-00-000613,0000849145,0001123534,64.8,control,True,row13
0000950144-01-003475,0000849145,0000939897,67.2,control,True,row13
0001010192-98-000020,0000849145,0001059564,,unknown,False,
0001062993-15-003265,0000849145,0001009161,6.1,stake,True,row13
0001564590-16-019966,0000849145,0001245119,8.1,stake,True,row13
0000921895-23-001213,0000849146,0001380585,,unknown,False,rejected_below_13d_threshold
0000921895-23-002620,0000849146,0001989436,5.9,stake,True,row13
0001079973-15-000503,0000849146,0001462600,5.1,stake,True,row13
0001851734-22-000538,0000849146,0001554334,5.1,stake,True,row13
0000921895-18-002357,0000849399,0001517137,5.8,stake,True,row13
0001213900-23-060435,0000849399,0001911036,7.8,stake,True,row13
0001594062-20-000097,0000849997,0001829200,78.39,control,True,row13
0000897069-00-000353,0000850027,0001038238,5.4,stake,True,row13
0001140361-23-046248,0000850027,0001401612,5.2,stake,True,row13
0001162044-13-000871,0000850027,0001446114,5.13,stake,True,aggregate_total
0000807249-20-000138,0000850429,0000807249,11.64,stake,True,aggregate_prose
0001193125-22-151959,0000850429,0001182451,18.9,stake,True,row13
0001315863-21-000232,0000851310,0001279150,9.6,stake,True,row13
0001193125-17-315119,0000851968,0000925177,13.1,stake,True,row13
0001085146-16-002494,0000854560,0001352864,,unknown,False,rejected_below_13d_threshold
0000922423-97-000783,0000855683,0001007000,,unknown,False,rejected_below_13d_threshold
0000950117-97-001515,0000855683,0000929406,5.4,stake,True,row13
0000950144-97-010041,0000855683,0000106374,,unknown,False,rejected_below_13d_threshold
0001193125-14-213161,0000855683,0001606683,23.9,stake,True,row13
0000811612-00-500029,0000855886,0000811612,32.7,stake,True,row13
0001062993-23-023266,0000855887,0001510281,5.2,stake,True,row13
0001140361-23-035773,0000855887,0000070858,100.0,control,True,row13
0000921895-20-000096,0000856982,0001517137,9.0,stake,True,row13
0000910680-98-000400,0000856984,0000908853,20.7,stake,True,row13
0000912057-00-004286,0000856984,0000001800,7.5,stake,True,row13
0000912057-00-008910,0000856984,0000918923,7.7,stake,True,row13
0002130246-26-000001,0000856984,0002130246,14.81,stake,True,prose
0000897069-18-000481,0000857005,0001024478,8.4,stake,True,row13
0000893750-16-000047,0000857855,0001408853,,unknown,False,
0000896017-04-000023,0000858706,0000896017,7.13,stake,True,row13
0000912057-00-054550,0000858706,0001080512,20.6,stake,True,row13
0001062993-24-016317,0000858706,0001510281,5.08,stake,True,row13
0001073307-01-500017,0000858706,0001126078,,unknown,False,rejected_below_13d_threshold
0001207017-09-000129,0000858706,0001207017,20.0,stake,True,row13
0001062993-25-005057,0000859796,0001510281,,unknown,False,
0000860413-21-000039,0000860413,0000860413,,unknown,False,rejected_below_13d_threshold
0001493152-23-045764,0000860413,0001198533,,unknown,False,rejected_below_13d_threshold
0001072613-09-000630,0000860489,0001018138,24.17,stake,True,row13
0001140361-26-004673,0000860730,0001433317,,unknown,False,
0001144204-14-051651,0000862651,0001537593,41.1,stake,True,row13
0001144204-17-040313,0000862651,0001707914,40.9,stake,True,row13
0001144204-17-040363,0000862651,0001713203,6.4,stake,True,row13
0001387131-11-000963,0000862651,0001518540,6.9,stake,True,row13
0001493152-20-000534,0000862651,0001796245,7.3,stake,True,row13
0001493152-20-000538,0000862651,0001796152,9.0,stake,True,row13
0001493152-20-010641,0000862651,0001811130,5.0,stake,True,row13
0000893220-98-000086,0000862668,0000875572,42.2,stake,True,row13
0001260475-18-000002,0000862668,0001260475,37.67,stake,True,row13
0000943374-14-000588,0000862692,0001529399,10.6,stake,True,row13
0000950134-07-015927,0000862692,0001407536,13.3,stake,True,llm
0000950144-07-002671,0000862692,0001315416,,unknown,False,
0001104659-06-026610,0000862692,0000902072,8.6,stake,True,row13
0001493152-26-012763,0000862692,0001867496,5.3,stake,True,llm
0000897069-15-000554,0000862831,0001309342,5.2,stake,True,row13
0000897069-25-000660,0000862831,0001569147,6.3,stake,True,llm
0000897101-99-000123,0000862861,0000902227,10.4,stake,True,row13
0001019687-14-004759,0000862861,0001512069,11.46,stake,True,prose
0001047469-99-014132,0000862861,0000822874,8.5,stake,True,row13
0001513162-21-000025,0000862861,0001846823,,unknown,False,
0001731122-19-000189,0000862861,0001755506,52.19,control,True,row13
0001104659-08-008904,0000863064,0001403565,12.0,stake,True,row13
0000921895-19-000018,0000863436,0001559771,,unknown,False,rejected_below_13d_threshold
0001019056-07-000445,0000863894,0001325533,6.2,stake,True,row13
0001193125-16-761758,0000863894,0001688984,45.0,stake,True,aggregate_total
0001193125-16-761759,0000863894,0001276244,45.0,stake,True,aggregate_total
0000912057-99-008521,0000863900,0001080512,20.6,stake,True,row13
0000950135-97-000933,0000863900,0001028186,7.84,stake,True,row13
0000950135-97-000939,0000863900,0000942359,5.5,stake,True,row13
0001072613-17-000215,0000863900,0001018138,40.8,stake,True,row13
0001505315-13-000003,0000863900,0001505315,22.98,stake,True,row13
0000940397-08-000047,0000864240,0001059521,,unknown,False,rejected_below_13d_threshold
0000940397-08-000049,0000864240,0001059520,,unknown,False,rejected_below_13d_threshold
0001104659-16-119793,0000865752,0001291940,,unknown,False,rejected_below_13d_threshold
0001341004-15-000486,0000865752,0000021344,16.7,stake,True,row13
0000891836-97-000558,0000866374,0000313216,5.8,stake,True,row13
0000096313-01-500137,0000866439,0001143304,10.0,stake,True,aggregate_total
0000939802-01-000099,0000866439,0001107830,21.2,stake,True,row13
0000939802-01-000100,0000866439,0001136087,21.2,stake,True,row13
0000939802-01-000101,0000866439,0001136084,21.2,stake,True,row13
0000939802-01-000102,0000866439,0001136077,21.2,stake,True,row13
0000939802-01-000103,0000866439,0001062132,21.2,stake,True,row13
0001020488-98-000012,0000866439,0001062609,41.3,stake,True,row13
0001020488-98-000028,0000866439,0001062108,19.0,stake,True,row13
0001683168-22-004779,0000866439,0001763085,100.0,control,True,row13
0001193125-21-217442,0000866729,0001676522,,unknown,False,rejected_below_13d_threshold
0001140361-23-024384,0000866829,0001041815,5.0,stake,True,row13
0001100930-99-000001,0000867038,0001100930,,unknown,False,
0001193125-10-038724,0000867038,0001405965,9.2,stake,True,row13
0000914248-99-000078,0000867840,0000914248,,unknown,False,
0000919574-14-004127,0000867840,0001345202,5.6,stake,True,row13
0001044321-04-000146,0000867840,0001044321,42.2,stake,True,row13
0001104659-06-030391,0000867840,0001311743,30.8,stake,True,row13
0001104659-07-045621,0000867840,0001402040,5.9,stake,True,row13
0001104659-15-072726,0000867840,0001287741,9.36,stake,True,row13
0001140361-18-041367,0000867840,0000923666,,unknown,False,rejected_below_13d_threshold
0001144204-07-017205,0000867840,0001059134,14.4,stake,True,row13
0001144204-14-042485,0000867840,0001494208,18.9,stake,True,row13
0001683168-23-002417,0000867840,0001888951,,unknown,False,rejected_below_13d_threshold
0001140361-15-010884,0000868278,0001373604,32.0,stake,True,aggregate_total
0001144204-10-065329,0000868278,0001251214,6.9,stake,True,row13
0001144204-14-056952,0000868278,0001457896,15.2,stake,True,row13
0001193125-12-392472,0000868278,0001006195,9.8,stake,True,row13
0001493152-15-004035,0000868278,0001459632,6.2,stake,True,row13
0000811612-00-500030,0000868578,0000811612,30.1,stake,True,row13
0001193125-17-363943,0000868780,0001512839,7.2,stake,True,row13
0001193125-21-092785,0000868780,0001205405,9.7,stake,True,row13
0000899140-96-000341,0000868822,0001002046,5.86,stake,True,row13
0000921895-20-003136,0000868857,0001517137,5.2,stake,True,row13
0000909518-14-000012,0000872589,0001121404,21.6,stake,True,row13
0001019056-20-000228,0000872912,0001622627,9.9,stake,True,row13
0001193125-22-202419,0000872912,0001235644,6.3,stake,True,row13
0001562371-15-000003,0000873303,0001562371,7.66,stake,True,row13
0000904853-22-000002,0000873860,0000904853,6.4,stake,True,row13
0000921895-15-000151,0000873860,0001418673,6.9,stake,True,row13
0000950142-18-000616,0000874396,0001552234,27.2,stake,True,row13
0001162677-10-000016,0000874396,0001462979,5.31,stake,True,row13
0001193125-13-474607,0000874396,0001550729,9.8,stake,True,row13
0001123292-21-000901,0000874499,0001332784,43.6,stake,True,row13
0001193805-18-001406,0000874499,0001438637,7.7,stake,True,row13
0001398344-20-019795,0000874499,0001383838,8.35,stake,True,row13
0000897069-14-000369,0000875355,0000353184,16.3,stake,True,row13
0000921895-14-002710,0000875355,0001334429,19.4,stake,True,row13
0001140361-14-023426,0000875355,0000923666,,unknown,False,rejected_below_13d_threshold
0001699575-17-000003,0000875355,0001699575,8.5,stake,True,row13
0001829126-22-012198,0000875355,0001817604,5.1,stake,True,row13
0001829126-22-019515,0000875355,0001932843,7.5,stake,True,row13
0001171843-19-006654,0000875582,0000928321,13.2,stake,True,row13
0000933430-20-000011,0000875657,0000933430,34.8,stake,True,aggregate_total
0000891092-00-000357,0000875729,0001111858,29.9,stake,True,row13
0000948830-02-000014,0000875729,0001004650,36.2,stake,True,row13
0001565308-13-000004,0000875729,0001565308,9.5,stake,True,row13
0001011438-16-000296,0000876167,0001320769,13.5,stake,True,row13
0000919574-14-003767,0000876343,0001278386,18.7,stake,True,row13
0001140361-13-038230,0000876343,0001572552,14.5,stake,True,row13
0001140361-17-001378,0000876343,0001229339,,unknown,False,rejected_below_13d_threshold
0001493152-20-002548,0000876343,0000938354,,unknown,False,rejected_below_13d_threshold
0000807249-25-000101,0000876427,0000807249,5.01,stake,True,aggregate_prose
0001539497-25-002847,0000876427,0000921669,14.79,stake,True,prose
0001144204-12-050479,0000876779,0001045986,52.0,control,True,row13
0000895345-17-000140,0000876883,0000886982,19.42,stake,True,row13
0000921895-18-003170,0000876883,0001430308,5.1,stake,True,row13
0000950170-25-058891,0000876883,0000902015,,unknown,False,
0001193125-23-140847,0000876883,0001512910,9.9,stake,True,row13
0001193805-21-000735,0000876883,0001524362,11.9,stake,True,row13
0001437749-19-005624,0000876883,0001771444,,unknown,False,
0001437749-21-014215,0000876883,0001771728,18.8,stake,True,row13
0001062993-24-008825,0000877463,0001510281,5.12,stake,True,row13
0001193125-11-005647,0000877463,0000070858,,unknown,False,
0001654954-22-009918,0000877463,0001344146,100.0,control,True,row13
0000904454-15-000242,0000878518,0001352117,6.14,stake,True,row13
0000943663-16-000272,0000878518,0000814232,10.44,stake,True,row13
0000943663-16-000273,0000878518,0001608904,10.44,stake,True,row13
0001104659-16-089683,0000878518,0001663396,5.14,stake,True,row13
0000890566-97-001302,0000878932,0001025178,9.7,stake,True,row13
0000890566-97-001304,0000878932,0001040023,5.6,stake,True,row13
0000930413-09-005073,0000878932,0001473670,9.28,stake,True,row13
0000943663-05-000404,0000878932,0001332443,15.1,stake,True,row13
0001099910-26-000220,0000878932,0001313813,63.4,control,True,aggregate_total
0001140361-14-023153,0000878932,0001099941,20.71,stake,True,row13
0001193125-14-237382,0000878932,0001520388,,unknown,False,
0001193125-21-291115,0000878932,0001206636,23.5,stake,True,row13
0001322410-21-000124,0000878932,0001493101,,unknown,False,rejected_below_13d_threshold
0001391609-07-000041,0000878932,0000878932,28.62,stake,True,row13
0001462180-11-000050,0000878932,0001462180,5.28,stake,True,row13
0001504304-15-000103,0000878932,0001504304,,unknown,False,rejected_below_13d_threshold
0001673431-20-000048,0000878932,0001493030,23.88,stake,True,row13
0001829126-21-006512,0000878932,0001830402,,unknown,False,rejected_below_13d_threshold
0001829126-22-014252,0000878932,0001932843,,unknown,False,rejected_below_13d_threshold
0001104659-21-068884,0000879169,0001263508,14.6,stake,True,row13
0000950170-25-021481,0000879407,0000873303,9.5,stake,True,prose
0001104659-16-096578,0000879407,0001114448,5.57,stake,True,row13
0001552781-17-000019,0000879407,0001479615,9.21,stake,True,row13
0001062993-19-004541,0000879535,0001510281,9.6,stake,True,row13
0001072613-20-000321,0000879535,0001048703,24.12,stake,True,row13
0001193125-11-005737,0000879535,0000070858,64.3,control,True,row13
0001193125-13-355699,0000879535,0000072971,100.0,control,True,row13
0000929638-24-001739,0000879585,0000922147,29.4,stake,True,row13
0001193125-18-275916,0000879635,0001728380,11.9,stake,True,row13
0001193125-24-253858,0000879635,0002044313,6.19,stake,True,row13
0001193125-26-201620,0000879635,0001548007,9.69,stake,True,prose
0000879911-17-000004,0000879911,0000879911,,unknown,False,rejected_below_13d_threshold
0001144204-04-003471,0000879911,0000902740,25.3,stake,True,row13
0001144204-16-092538,0000879911,0001671199,6.5,stake,True,row13
0001144204-16-092639,0000879911,0001284227,15.5,stake,True,row13
0001144204-16-092640,0000879911,0001064875,16.2,stake,True,row13
0001193125-21-269561,0000880117,0001171336,8.8,stake,True,row13
0001437749-17-012048,0000880242,0001663146,6.8,stake,True,row13
0000902664-15-002881,0000880266,0001325256,,unknown,False,rejected_below_13d_threshold
0000950157-19-000248,0000880266,0001525527,15.9,stake,True,row13
0001398344-14-006532,0000880406,0001413260,18.79,stake,True,aggregate_prose
0001398344-23-023659,0000880406,0001310710,27.08,stake,True,aggregate_prose
0001504304-19-000010,0000880406,0001067621,9.99976,stake,True,row13
0000950131-01-501814,0000880417,0001142314,,unknown,False,rejected_below_13d_threshold
0000921895-22-000221,0000880631,0001520619,10.5,stake,True,row13
0000921895-22-001817,0000880631,0001916222,10.4,stake,True,row13
0001193125-16-470278,0000880631,0000934992,5.23,stake,True,row13
0001062993-24-008824,0000880892,0001510281,5.07,stake,True,row13
0001193125-11-005640,0000880892,0000070858,22.7,stake,True,row13
0000921895-13-001833,0000880984,0001454027,12.3,stake,True,row13
0001144204-03-002161,0000880984,0001189294,6.8,stake,True,row13
0001493152-18-017995,0000880984,0001131043,5.31,stake,True,row13
0001493152-19-010367,0000880984,0001781233,11.0,stake,True,row13
0000930661-96-001415,0000881787,0000868809,6.1,stake,True,row13
0000950109-95-001718,0000881787,0000776867,10.7,stake,True,row13
0000811612-00-500021,0000882071,0000811612,34.5,stake,True,row13
0001062993-23-021194,0000882150,0001510281,5.01,stake,True,row13
0001193125-11-005727,0000882150,0000070858,55.6,control,True,row13
0001654954-22-009234,0000882150,0001344146,100.0,control,True,row13
0001193125-20-268554,0000882184,0000900824,,unknown,False,rejected_below_13d_threshold
0001344347-15-000003,0000882291,0001344347,11.69,stake,True,row13
0001062993-23-001543,0000882300,0001510281,5.18,stake,True,row13
0001178913-07-001627,0000882361,0001354542,9.8,stake,True,row13
0001194396-06-000239,0000882361,0001369825,14.2,stake,True,row13
0001213900-23-075818,0000882361,0001904921,12.07,stake,True,row13
0000921895-18-001138,0000882796,0001346824,7.1,stake,True,row13
0000930413-18-000522,0000882796,0001281446,7.6,stake,True,row13
0000933430-16-000003,0000883107,0000933430,42.6,stake,True,row13
0000807249-00-000432,0000883237,0000807249,,unknown,False,rejected_below_13d_threshold
0000921895-09-001283,0000883237,0001328785,,unknown,False,rejected_below_13d_threshold
0000950135-99-000511,0000883237,0000728086,,unknown,False,rejected_below_13d_threshold
0000950146-95-000682,0000883237,0000890280,60.0,control,True,llm
0001193125-09-004832,0000883237,0000927971,23.0,stake,True,row13
0000769317-24-000059,0000883265,0000769317,8.28,stake,True,row13
0001062993-23-019508,0000883265,0001510281,10.7,stake,True,row13
0001193125-11-005860,0000883265,0000070858,,unknown,False,
0001193125-12-248600,0000883265,0001000275,100.0,control,True,row13
0001214659-19-003178,0000883265,0001548814,,unknown,False,
0001193125-11-005610,0000883412,0000070858,43.2,stake,True,row13
0001654954-22-009236,0000883412,0001344146,100.0,control,True,row13
0001009448-16-000065,0000883975,0001690100,19.47,stake,True,row13
0001009448-16-000067,0000883975,0001690161,9.12,stake,True,row13
0001009448-16-000073,0000883975,0001690753,11.88,stake,True,row13
0001009448-16-000077,0000883975,0001691391,9.81,stake,True,row13
0001009448-17-000004,0000883975,0001690103,10.21,stake,True,row13
0001009448-17-000006,0000883975,0000883975,13.44,stake,True,row13
0001213900-16-019251,0000883975,0001140358,26.9,stake,True,row13
0001493152-17-006906,0000883975,0001690757,12.94,stake,True,row13
0000078003-17-000006,0000883984,0000078003,16.4,stake,True,row13
0000950127-22-000003,0000883984,0001901425,10.5,stake,True,row13
0001213900-24-019011,0000883984,0001326143,6.9,stake,True,row13
0000921895-11-000004,0000884121,0001286207,,unknown,False,rejected_below_13d_threshold
0001062993-23-023268,0000884121,0001510281,5.31,stake,True,row13
0001193125-17-193175,0000884144,0001708299,,unknown,False,
0001325533-09-000013,0000884144,0001325533,7.35,stake,True,row13
0001062993-24-001198,0000884152,0001510281,9.23,stake,True,row13
